ID,Easting,Northing,Elevation,Label
2504021010,741689.772,9291906.241,1163.124,GCP 9
2504021011,741583.137,9291976.949,1149.833,GCP 10
2504021012,741446.561,9292051.625,1140.426,GCP 11
2504021013,741363.301,9292133.078,1128.326,GCP 12
2504021015,741457.76,9292152.521,1112.655,GCP 13
2504021016,741524.174,9292240.81,1094.856,GCP 14
2504021018,741646.326,9292285.277,1077.693,GCP 15
2504021019,741674.789,9292351.216,1075.748,GCP 16
2504021020,741603.151,9292418.85,1062.428,GCP 17
2504021021,741493.427,9292534.272,1042.056,GCP 18
2504021022,741450.074,9292653.46,1022.501,GCP 19
2504111000,744802.303,9289945.885,1247.996,GCP 1
2504111001,744745.582,9289993.441,1244.632,GCP 2
2504111002,744718.375,9290068.819,1243.732,GCP 3
2504111003,744630.726,9290125.687,1241.069,GCP 4
2504111004,744623.35,9290193.666,1240.046,GCP 5
2504111005,744596.701,9290261.164,1238.639,GCP 6
2504111020,744468.436,9290290.15,1233.151,CCP 8
2504111022,744431.076,9290375.058,1228.774,CCP 10
2504111023,744351.06,9290408.382,1222.171,CCP 10
2504111024,744284.508,9290492.243,1218.8,CCP 11
2504111025,744253.444,9290560.147,1217.596,CCP 12
2504111026,744167.719,9290628.54,1215.3,CCP 18
2504111027,744080.638,9290660.928,1211.365,CCP 19
2504111028,744029.87,9290783.785,1199.718,CCP 20
2504111029,743939.24,9290866.551,1190.286,CCP 21
2504121000,743939.242,9290866.533,1190.28,GCP 1
2504121001,743815.515,9290932.529,1185.673,GCP 2
2504121002,743780.046,9291044.322,1185.662,GCP 3
2504121003,743666.3,9291029.306,1188.379,GCP 4
2504121004,743537.515,9291084.569,1190.025,GCP 5
2504121005,743468.35,9291184.48,1190.461,GCP 6
2504121006,743356.428,9291208.714,1190.338,GCP 7
2504121007,743268.152,9291297.211,1189.864,GCP 8
2504121008,743159.927,9291311.491,1188.791,GCP 9
2504121009,743066.595,9291356.674,1192.153,GCP 10
2504121010,742972.614,9291360.519,1195.904,GCP 11
2504121011,742836.262,9291428.393,1195.452,GCP 12
2504121012,742713.603,9291418.403,1196.42,GCP 13
2504121013,742532.072,9291439.651,1204.591,GCP 14
2504131001,745037.408,9287749.463,1349.203,GCP 1
2504131002,745128.327,9287832.742,1339.9,GCP 2
2504131003,745225.444,9287903.013,1330.188,GCP 3
2504131004,745303.997,9288007.18,1319.623,GCP 4
2504131005,745455.517,9288148.173,1302.601,GCP 5
2504131006,745562.308,9288193.216,1292.213,GCP 6
2504131007,745612.935,9288232.243,1290.349,GCP 7
2504131008,745734.857,9288220.065,1284.23,GCP 8
2504131009,745834.954,9288297.153,1269.865,GCP 9
2504131010,745965.497,9288408.726,1243.303,GCP 10
2504131011,746054.817,9288443.973,1228.344,GCP 11
2504131012,746079.84,9288579.981,1227.803,GCP 12
2504131013,746056.531,9288650.841,1226.732,GCP 13
2504131014,745167.647,9287495.434,1371.293,GCP 20
2504131015,745137.222,9287592.343,1371.943,GCP 21
2504131016,745081.679,9287664.7,1360.559,GCP 22
2504131017,744969.049,9287761.255,1343.242,GCP 23
2504131018,744809.59,9287796.64,1338.826,GCP 24
2504131019,744699.964,9287858.786,1329.853,GCP 25
2504131020,744602.356,9287955.172,1326.246,GCP 26
2504131021,744506.594,9288070.528,1312.7,GCP 27
2504131022,744413.616,9288005.064,1317.008,GCP 28
2504131023,744318.934,9287908.693,1316.163,GCP 29
2504131024,744285.391,9287817.155,1315.568,GCP 30
2504131025,744261.325,9287738.786,1310.409,GCP 31
2504131026,744212.033,9287623.017,1323.57,GCP 32
2503261000,745179.789,9289522.469,1242.544,GCP 1
2503261001,745159.913,9289604.904,1236.408,GCP 2
2503261002,745135.37,9289718.781,1232.264,GCP 3
2503261003,745033.91,9289769.166,1233.022,GCP 4
2503261004,744970.559,9289840.87,1233.982,GCP 5
2503261005,744912.506,9289850.477,1233.351,GCP 6
2503261006,744825.513,9289907.239,1246.779,GCP 7
2503261007,744802.106,9289946.812,1247.968,GCP 8
25040271000,745380.126,9287465.732,1416.257,GCP 1
25040271001,745441.222,9287490.637,1404.974,GCP 2
25040271002,745402.683,9287446.845,1404.843,GCP 3
25040271003,745357.78,9287410.626,1398.045,GCP 4
25040271004,745282.433,9287431.087,1387.632,GCP 5
25040271005,745226.784,9287468.415,1378.941,GCP 6
25040271006,745163.101,9287448.061,1371.498,GCP 7
25040271007,745114.772,9286589.234,1055.009,GCP 50
25040271008,745174.578,9286543.24,1043.646,GCP 51
25040271009,745246.805,9286517.811,1030.928,GCP 52
25040271010,745298.429,9286479.844,1021.645,GCP 53
25040271011,745372.034,9286416.561,1006.655,GCP 54
25040271012,745458.963,9286381.659,991.164,GCP 55
25040271013,745513.842,9286337.773,982.896,GCP 56
25040271015,745593.047,9286325.706,969.022,GCP 57
25040271017,745656.737,9286304.612,956.254,GCP 58
25040271018,745691.882,9286228.626,943.095,GCP 59
25040271019,745774.479,9286181.795,928.681,GCP 60
25040281000,744212.022,9287623.006,1323.552,GCP 1
2503261004,744135.237,9287557.702,1313.234,GCP 2
2503261005,744028.178,9287550.792,1300.142,GCP 3
2503261006,743940.853,9287544.044,1290.171,GCP 4
2503261007,743905.258,9287507.221,1275.825,GCP 5
2503261008,743950.668,9287460.944,1263.93,GCP 6
2503261009,744034.991,9287393.747,1252.83,GCP 7
2503261010,744154.366,9287326.286,1230.934,GCP 8
2503261011,744176.095,9287270.821,1222.212,GCP 9
2503261012,744250.684,9287223.743,1211.185,GCP 10
2503261013,744334.666,9287146.623,1199.042,GCP 11
2503261014,744400.895,9287091.164,1187.385,GCP 12
2503261015,744507.959,9287052.275,1171.801,GCP 13
2503261016,744558.957,9286966.338,1154.083,GCP 14
2503261017,744648.457,9286917.451,1138.456,GCP 15
2503261018,744701.717,9286872.712,1128.535,GCP 16
2503261019,744775.922,9286834.605,1115.283,GCP 17
2503261020,744828.126,9286761.56,1100.156,GCP 18
2503261021,744864.31,9286708.575,1092.661,GCP 19
2503261022,744969.398,9286661.884,1077.756,GCP 20
2503261023,745065.184,9286620.907,1064.286,GCP 21
2503261024,745114.786,9286589.221,1055.051,GCP 22
